"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","Canada","2016A000011124","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44356819","1.1.7","649341","","","","0"
"2003","Canada","2016A000011124","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44356819","1.1.7","626671","","","","0"
"2004","Canada","2016A000011124","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44356819","1.1.7","632415","","","","0"
"2005","Canada","2016A000011124","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44356819","1.1.7","623465","","","","0"
"2006","Canada","2016A000011124","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44356819","1.1.7","635587","","","","0"
"2007","Canada","2016A000011124","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44356819","1.1.7","643002","","","","0"
"2008","Canada","2016A000011124","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44356819","1.1.7","652326","","","","0"
"2009","Canada","2016A000011124","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44356819","1.1.7","658707","","","","0"
"2000","Canada","2016A000011124","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44393619","1.1.8","2418.27","","","","2"
"2001","Canada","2016A000011124","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44393619","1.1.8","2482.36","","","","2"
"2002","Canada","2016A000011124","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44393619","1.1.8","2424.27","","","","2"
"2003","Canada","2016A000011124","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44393619","1.1.8","2308.92","","","","2"
"2004","Canada","2016A000011124","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44393619","1.1.8","2299.80","","","","2"
"2005","Canada","2016A000011124","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44393619","1.1.8","2238.87","","","","2"
"2006","Canada","2016A000011124","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44393619","1.1.8","2254.02","","","","2"
"2007","Canada","2016A000011124","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44393619","1.1.8","2253.59","","","","2"
"2008","Canada","2016A000011124","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44393619","1.1.8","2258.24","","","","2"
"2009","Canada","2016A000011124","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44393619","1.1.8","2252.24","","","","2"
"2000","Canada","2016A000011124","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44412030","1.1.9","515796","","","","0"
"2001","Canada","2016A000011124","Total, all violations [0]","Total, adult charged","Number","223","units","0","v44412030","1.1.9","539022","","","","0"
