"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","Total, all violations [0]","Actual incidents","Number","223","units","0","v44348247","1.1.1","2379130","","","","0"
"2011","Canada","2016A000011124","Total, all violations [0]","Actual incidents","Number","223","units","0","v44348247","1.1.1","2275917","","","","0"
"2012","Canada","2016A000011124","Total, all violations [0]","Actual incidents","Number","223","units","0","v44348247","1.1.1","2244458","","","","0"
"2013","Canada","2016A000011124","Total, all violations [0]","Actual incidents","Number","223","units","0","v44348247","1.1.1","2098776","","","","0"
"2014","Canada","2016A000011124","Total, all violations [0]","Actual incidents","Number","223","units","0","v44348247","1.1.1","2052925","","","","0"
"2015","Canada","2016A000011124","Total, all violations [0]","Actual incidents","Number","223","units","0","v44348247","1.1.1","2118681","","","","0"
"2016","Canada","2016A000011124","Total, all violations [0]","Actual incidents","Number","223","units","0","v44348247","1.1.1","2161927","","","","0"
"2017","Canada","2016A000011124","Total, all violations [0]","Actual incidents","Number","223","units","0","v44348247","1.1.1","2213293","","","","0"
"2018","Canada","2016A000011124","Total, all violations [0]","Actual incidents","Number","223","units","0","v44348247","1.1.1","2280328","","","","0"
"2019","Canada","2016A000011124","Total, all violations [0]","Actual incidents","Number","223","units","0","v44348247","1.1.1","2438518","","","","0"
"2010","Canada","2016A000011124","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44396346","1.1.2","6996.36","","","","2"
"2011","Canada","2016A000011124","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44396346","1.1.2","6627.73","","","","2"
"2012","Canada","2016A000011124","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44396346","1.1.2","6465.53","","","","2"
"2013","Canada","2016A000011124","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44396346","1.1.2","5982.32","","","","2"
"2014","Canada","2016A000011124","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44396346","1.1.2","5793.10","","","","2"
"2015","Canada","2016A000011124","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44396346","1.1.2","5934.20","","","","2"
"2016","Canada","2016A000011124","Total, all violations [0]","Rate per 100,000 population","Rate","257","units","0","v44396346","1.1.2","5987.14","","","","2"
